From,To,Weight,Impact Factor
ECON IND DEMOCRACY,ECON IND DEMOCRACY,59,1.156
SWISS J PSYCHOL,EMOTION,16,3.251
EUR J MARKETING,J MARKETING,474,5.318
ENVIRON BEHAV,ENVIRON BEHAV,161,3.378
FRONT PSYCHOL,J FAM PSYCHOL,75,1.742
ETR&D-EDUC TECH RES,LEARN INSTR,37,3.983
INT J MANAG REV,ORGAN STUD,77,3.107
AM J AGR ECON,AM ECON REV,96,4.026
PSYCHIAT RES,PSYCHOL MED,563,5.23
J PSYCHOPHYSIOL,NEUROIMAGE,38,5.835
J APPL PSYCHOL,ORGAN RES METHODS,120,4.783
RES SOCIAL WORK PRAC,J SOC SERV RES,10,0.574
INT J OFFENDER THER,DEVIANT BEHAV,27,1.052
INFORM DEV,INFORM DEV,97,1.691
J DRUG ISSUES,CRIMINOLOGY,17,5.019
ORGAN STUD,ACAD MANAGE J,230,7.417
HARVARD REV PSYCHIAT,HARVARD REV PSYCHIAT,41,2.986
HEALTH QUAL LIFE OUT,MED CARE,104,2.897
LAND USE POLICY,ENVIRON IMPACT ASSES,49,3.094
J AIR TRANSP MANAG,MANAG SERV QUAL,29,3.1
PSYCHOL REP,BEHAV RES THER,44,4.064
EDUC REV,REV EDUC RES,11,5.263
J PRIM PREV,AM J COMMUN PSYCHOL,30,2.108
J CLIN PSYCHOL,J CLIN PSYCHOL,74,2.123
SUSTAINABILITY-BASEL,AM J AGR ECON,115,1.829
J CONSUM RES,J CONSUM RES,217,3.800
FAM BUS REV,ACAD MANAGE REV,42,9.408
JOURNALISM STUD,JOURNALISM STUD,110,1.927
AM J NURS,J NURS ADMIN,15,1.386
J ACCOUNT RES,J FINANC ECON,114,4.505
POLIT PSYCHOL,J THEOR SOC BEHAV,8,1.304
J AFFECT DISORDERS,AM J PSYCHIAT,1128,14.176
J CONSULT CLIN PSYCH,ADDICTION,72,5.789
J ENG TECHNOL MANAGE,INT J TECHNOL MANAGE,23,1.036
ENVIRON PLANN A,TIJDSCHR COMMUNWET,1,0.171
PLOS ONE,J HEALTH PSYCHOL,66,2.182
J SAFETY RES,ACCIDENT ANAL PREV,263,2.685
J RES SCI TEACH,EDUC RESEARCHER,51,3.827
J ASSOC INF SCI TECH,LIBR HI TECH,10,0.759
READ WRIT Q,J EDUC PSYCHOL,45,3.459
INT J AGING HUM DEV,GERONTOLOGIST,50,3.505
PLOS ONE,HEALTH PSYCHOL,190,3.458
J MANAGE INQUIRY,HUM RELAT,43,2.622
TER PSICOL,J PERS SOC PSYCHOL,16,5.017
BEHAV BRAIN SCI,SCIENCE,114,37.205
ANNU REV CLIN PSYCHO,BEHAV RES THER,83,4.064
PLOS ONE,STATA J,98,1.092
INTERNET HIGH EDUC,INTERNET HIGH EDUC,173,4.238
LANG EDUC-UK,MOD LANG J,19,1.745
COMPUT HUM BEHAV,J INF SCI,23,1.372
TOP COGN SCI,PSYCHOL REV,59,7.638
SOC INDIC RES,SOC INDIC RES,867,1.743
INT J MANAG REV,J INT BUS STUD,178,5.869
COMPUT HUM BEHAV,J MANAGE INFORM SYST,148,2.356
PSYCHOL MEN MASCULIN,SEX ROLES,87,1.954
J MARKETING RES,QME-QUANT MARK ECON,11,1.333
DEV PSYCHOPATHOL,J AM ACAD CHILD PSY,176,6.442
J PSYCHIATR RES,PSYCHIAT INVEST,8,1.406
INT J RES MARK,MARKET SCI,178,2.163
PUBLIC ADMIN REV,VOLUNTAS,13,1.098
MEMORY,J ADULT DEV,12,0.762
J HAPPINESS STUD,J ECON PSYCHOL,38,1.275
IND MARKET MANAG,STRATEGIC MANAGE J,339,4.461
PLOS ONE,COMPR PSYCHIAT,96,2.194
PSYCHOL MEN MASCULIN,AM J MENS HEALTH,12,2.141
INFORM SYST J,MIS QUART,90,7.268
J BUS RES,J BUS RES,2564,3.354
J HOSP TOUR RES,TOURISM MANAGE,124,4.707
APPL PSYCHOPHYS BIOF,PSYCHOPHYSIOLOGY,42,2.668
HEALTH PSYCHOL,J BEHAV MED,61,2.5
TECHNOL FORECAST SOC,R&D MANAGE,55,2.444
PSYCHOPHYSIOLOGY,NEUROPSYCHOLOGIA,150,3.197
CURR PSYCHOL,SWISS J PSYCHOL,3,0.489
METACOGN LEARN,METACOGN LEARN,28,2.419
EUR J PUBLIC HEALTH,EUR J PUBLIC HEALTH,125,2.431
DEMOGRAPHY,SOC SCI RES,58,1.327
PLOS ONE,APPL PSYCHOPHYS BIOF,23,1.017
FRONT PSYCHOL,COGN PROCESS,58,0.974
J PSYCHOL COUNS SCH,AUST J GUID COUNS,10,0.778
CRIME DELINQUENCY,J RES CRIME DELINQ,127,2.545
J CLIN NURS,INT J MENT HEALTH NU,33,1.869
MEDIA CULT SOC,INT J COMMUN-US,25,1.498
J INF TECHNOL,MIS QUART,117,7.268
BEHAV PROCESS,LEARN MOTIV,63,0.673
J AUTISM DEV DISORD,DISABIL HEALTH J,13,1.858
INF SYST E-BUS MANAG,ELECTRON MARK,7,1.864
NEW MEDIA SOC,COMPUT HUM BEHAV,65,3.435
J APPL SPORT PSYCHOL,J APPL SPORT PSYCHOL,83,1.4
FRONT PSYCHOL,PSYCHOMETRIKA,168,2.111
BEHAV RES THER,J BEHAV THER EXP PSY,71,2.517
EUR J TEACH EDUC,PORTA LINGUARUM,3,0.426
NURS EDUC TODAY,INT J MENT HEALTH NU,29,1.869
FRONT PSYCHOL,J CHILD FAM STUD,50,1.386
AUSTRALAS J EDUC TEC,AUSTRALAS J EDUC TEC,41,0.853
J APPL PSYCHOL,J OCCUP ORGAN PSYCH,67,3.139
J BUS IND MARK,INT MARKET REV,35,1.672
INT J INCLUSIVE EDUC,J SPEC EDUC,21,1.279
PHILOS PSYCHOL,J PERS SOC PSYCHOL,70,5.017
SOCIOLOGY,INT J SOC RES METHOD,11,1.396
J PSYCHOPHYSIOL,NEUROPSYCHOLOGIA,18,3.197
J BEHAV HEALTH SER R,J CONSULT CLIN PSYCH,35,4.593
PLOS ONE,J SCHOOL HEALTH,36,1.749
J ACCOUNT PUBLIC POL,J ACCOUNT PUBLIC POL,84,1.333
J ASSOC INF SCI TECH,MIS QUART,101,7.268
J BUS RES,ACAD MANAGE REV,641,9.408
COMPUT HUM BEHAV,REV GEN PSYCHOL,45,1.492
TURK PSIKOL DERG,J ORGAN BEHAV,11,3.607
ECON MODEL,ECON MODEL,826,1.463
SOC COGNITION,J EXP PSYCHOL GEN,37,4.420
COMPUT HUM BEHAV,INFORM SYST RES,331,2.763
J FINANC,J FINANC ECON,361,4.505
PLOS ONE,COMPUT MATH ORGAN TH,10,0.769
J BLACK PSYCHOL,DEV PSYCHOL,24,3.228
EDUC GERONTOL,REV IBEROAM DIAGN EV,2,0.146
APPL COGNITIVE PSYCH,J PERS SOC PSYCHOL,93,5.017
CLIN PSYCHOL PSYCHOT,BEHAV COGN PSYCHOTH,28,1.697
CONVERGENCE-US,INFORM COMMUN SOC,27,2.692
J BEHAV ADDICT,CYBERPSYCH BEH SOC N,49,2.571
TELECOMMUN POLICY,INF ECON POLICY,59,0.739
EDUC ASSESS EVAL ACC,EDUC ASSESS EVAL ACC,17,0.706
POLIT PSYCHOL,AM POLIT SCI REV,76,3.316
J NURS EDUC,J CONTIN EDUC NURS,19,0.880
J EARLY ADOLESCENCE,J EARLY ADOLESCENCE,47,1.629
LEARN INDIVID DIFFER,SCI STUD READ,55,3.056
PLOS ONE,INT J QUAL HEALTH C,98,2.342
REV EDUC RES,EDUC ADMIN QUART,39,1.294
PLOS ONE,HEALTH AFFAIR,236,4.98
SEX RES SOC POLICY,J SEX RES,36,2.902
ASIA-PAC J TEACH EDU,ASIA-PAC J TEACH EDU,35,0.964
PERS INDIV DIFFER,MOTIV EMOTION,78,2.067
HEALTH INF MANAG J,J MED INTERNET RES,8,5.175
INT J LOGIST MANAG,STRATEGIC MANAGE J,57,4.461
HEALTH COMMUN,HUM COMMUN RES,90,1.549
SOC SCI INFORM,J PERS SOC PSYCHOL,15,5.017
EUR ECON REV,EXP ECON,53,2.391
J ADOLESCENT HEALTH,AM J PUBLIC HEALTH,174,3.858
ECON IND DEMOCRACY,J APPL PSYCHOL,19,4.130
SOC PROBL,AM J SOCIOL,65,3.088
EVAL HEALTH PROF,J CONSULT CLIN PSYCH,11,4.593
J ADVERTISING RES,J CONSUM RES,45,3.800
PLOS ONE,INT J METH PSYCH RES,64,3.176
MIL PSYCHOL,J VOCAT BEHAV,23,2.555
EUR J WORK ORGAN PSY,J PERS SOC PSYCHOL,151,5.017
J PURCH SUPPLY MANAG,J OPER MANAG,174,5.207
J SEX MARITAL THER,J SEX RES,88,2.902
AM J AGR ECON,AM J AGR ECON,293,1.829
INT MARKET REV,J BUS RES,97,3.354
J DEV BEHAV PEDIATR,J AUTISM DEV DISORD,74,3.321
PLOS ONE,AM J HEALTH BEHAV,30,1.479
J ECON BEHAV ORGAN,Q J ECON,317,6.662
SCIENTOMETRICS,RES POLICY,411,4.495
COMPUT HUM BEHAV,TECHNOL PEDAGOG EDUC,6,1.066
QME-QUANT MARK ECON,AM ECON REV,18,4.026
MOD LANG J,LINGUIST EDUC,9,0.833
MIS QUART,MANAGE SCI,96,2.822
MANAGE LEARN,MANAGE LEARN,207,1.836
NEW IDEAS PSYCHOL,PSYCHOL REV,31,7.638
J BIOMED INFORM,J AM MED INFORM ASSN,301,3.698
J DESTIN MARK MANAGE,TOURISM MANAGE,237,4.707
J THEOR APPL EL COMM,HARVARD BUS REV,7,3.227
EUR J PSYCHIAT,SCHIZOPHR RES,32,3.986
CONTINUUM-J MEDIA CU,CONTINUUM-J MEDIA CU,22,0.468
APPL ENERG,TRANSPORT RES D-TR E,79,2.341
J HOSP LEIS SPORT TO,J HOSP LEIS SPORT TO,20,0.206
CAREER DEV INT,J APPL PSYCHOL,134,4.130
ASIA-PAC EDUC RES,COMPUT EDUC,89,3.819
PERS PSYCHOL,ACAD MANAGE J,170,7.417
INT COMMUN GAZ,J COMMUN,44,3.914
COMPUT HUM BEHAV,J ADOLESCENT HEALTH,102,3.974
EUR J OPER RES,M&SOM-MANUF SERV OP,144,1.683
REV EDUC,J EDUC PSYCHOL,8,3.459
J ABNORM CHILD PSYCH,CLIN CHILD FAM PSYCH,41,4.171
PERS SOC PSYCHOL B,PSYCHOL BULL,157,16.793
CAN PSYCHOL,CLIN PSYCHOL REV,25,8.897
PLOS ONE,PSYCHOMETRIKA,165,2.111
J BALT SCI EDUC,J SCI EDUC TECHNOL,25,1.080
J MANAGE PSYCHOL,J MANAGE PSYCHOL,99,1.195
J ACAD LIBR,LIBR HI TECH,34,0.759
INT J IND ERGONOM,APPL ERGON,227,1.866
SCI TECHNOL HUM VAL,SOC STUD SCI,84,2.256
J RES ADOLESCENCE,J FAM PSYCHOL,58,1.742
J ADOLESCENCE,PSYCHOL BULL,98,16.793
COMPUT HUM BEHAV,PSYCHOL REP,60,0.629
INT J IND ORGAN,QME-QUANT MARK ECON,10,1.333
SPORT PSYCHOL,J SPORT EXERCISE PSY,53,2.451
ILR REV,IND RELAT,48,1.647
INT J CLIN HLTH PSYC,RES DEV DISABIL,14,1.63
OMEGA-J DEATH DYING,J LOSS TRAUMA,8,0.744
AM SOCIOL REV,AM SOCIOL REV,275,4.4
INT J OPER PROD MAN,INT J LOGIST MANAG,27,1.610
EAT BEHAV,BODY IMAGE,106,2.926
NURS EDUC TODAY,ADULT EDUC QUART,14,0.919
J RURAL HEALTH,HEALTH AFFAIR,26,4.98
J FINANC,Q J ECON,115,6.662
BRAIN COGNITION,TRENDS COGN SCI,83,15.402
NONPROF VOLUNT SEC Q,NONPROF VOLUNT SEC Q,401,1.852
SUICIDE LIFE-THREAT,J AFFECT DISORDERS,56,3.432
FRONT PSYCHOL,PSYCHOTHERAPY,30,2.573
COMPUT EDUC,EDUC PSYCHOL REV,48,4.333
LANG TEACH RES,LANG TEACH RES,67,1.741
GIFTED CHILD QUART,J EDUC PSYCHOL,23,3.459
PSYCHOL SPORT EXERC,CAN PSYCHOL,18,1.429
J CREATIVE BEHAV,J PERS SOC PSYCHOL,28,5.017
REV LAT AM PSICOL,ENVIRON BEHAV,9,3.378
PERS INDIV DIFFER,INT J PSYCHOL,27,1.778
COMPUT HUM BEHAV,PSYCHOL BULL,371,16.793
J BUS RES,IND CORP CHANGE,49,1.777
CURR OPIN PSYCHIATR,AM J PSYCHIAT,55,14.176
ASSESSMENT,J PERS ASSESS,86,2.024
J PRAGMATICS,J PRAGMATICS,252,0.918
PSYCHOTHERAPY,PSYCHOTHERAPY,123,2.573
INT J NURS STUD,HEALTH CARE MANAGE R,19,1.921
HEALTH PROMOT J AUST,HEALTH PROMOT J AUST,73,1.097
GROUP DECIS NEGOT,ORGAN BEHAV HUM DEC,44,2.454
J ECON MANAGE STRAT,Q J ECON,50,6.662
J ORGAN END USER COM,MIS QUART,69,7.268
FRONT PSYCHOL,J VOCAT BEHAV,223,2.555
J FAM PSYCHOL,J MARRIAGE FAM,207,2.238
ALCOHOL ALCOHOLISM,DRUG ALCOHOL DEPEN,76,3.222
METACOGN LEARN,INT J EDUC RES,14,0.930
J CLEAN PROD,J OPER MANAG,207,5.207
POLIT STUD-LONDON,AM J POLIT SCI,42,5.044
E M EKON MANAG,J BUS RES,15,3.354
J ADDICT NURS,DRUG ALCOHOL DEPEN,21,3.222
J ECON PERSPECT,Q J ECON,124,6.662
POLAR-POLIT LEG ANTH,AM ANTHROPOL,15,1.58
INT BUS REV,J MANAGE,174,7.733
ANN GEN PSYCHIATR,AM J PSYCHIAT,33,14.176
PLOS ONE,AM J PUBLIC HEALTH,781,3.858
DIAGNOSTICA,STRUCT EQU MODELING,12,3.097
J LIT RES,READ TEACH,27,0.69
J ANXIETY DISORD,J BEHAV THER EXP PSY,65,2.517
ILR REV,Q J ECON,31,6.662
J AM ACAD CHILD PSY,AM J PSYCHIAT,193,14.176
EUR SPORT MANAG Q,EUR SPORT MANAG Q,54,1.778
INT J MANPOWER,ACAD MANAGE J,52,7.417
BRIT J GUID COUNS,J COUNS DEV,22,1.216
HUM RELAT,GENDER WORK ORGAN,33,1.548
BEHAV DISORDERS,J POSIT BEHAV INTERV,32,1.929
SOC COGN AFFECT NEUR,J COGNITIVE NEUROSCI,245,3.108
COMPUT HUM BEHAV,INFORM MANAGE-AMSTER,424,3.317
MANAGE ORGAN REV,ORGAN SCI,59,2.691
J GERONTOL B-PSYCHOL,J AM GERIATR SOC,57,4.388
BRAIN COGNITION,NEUROPSYCHOLOGIA,252,3.197
CURR DIR PSYCHOL SCI,P NATL ACAD SCI USA,46,9.661
EUR J OPER RES,MANAGE SCI,889,2.822
ACT LEARN HIGH EDUC,ACT LEARN HIGH EDUC,47,1.258
J ECON MANAGE STRAT,INT J IND ORGAN,30,0.795
TEACH HIGH EDUC,TEACH TEACH EDUC,22,2.183
INT J METH PSYCH RES,J AFFECT DISORDERS,15,3.432
J POLITENESS RES-LAN,J PRAGMATICS,37,0.918
BEHAV INFORM TECHNOL,MIS QUART,117,7.268
EUR J PSYCHOL APPL L,VIOLENCE VICTIMS,11,0.750
GEN HOSP PSYCHIAT,J CLIN PSYCHIAT,68,5.291
J INTERACT MARK,J NEUROSCI PSYCHOL E,3,1.188
J AFFECT DISORDERS,EUR PSYCHIAT,129,3.123
J HUM EVOL,SCIENCE,272,37.205
ECON LETT,J ECONOMETRICS,127,1.633
J CRIM JUST,JUSTICE Q,113,3.072
STUD EDUC EVAL,STUD EDUC EVAL,38,0.717
FRONT PSYCHOL,J LANG SOC PSYCHOL,43,1.272
ELECTRON MARK,J BUS RES,24,3.354
RES DEV DISABIL,J AUTISM DEV DISORD,236,3.321
SOC FORCES,DEMOGRAPHY,38,2.802
J ECON EDUC,ECON INQ,13,0.922
TEACH TEACH EDUC,REV RES EDUC,41,1.727
MED CARE RES REV,HEALTH AFFAIR,118,4.98
J LABOR ECON,Q J ECON,99,6.662
HUM NATURE-INT BIOS,EVOL HUM BEHAV,74,3.383
PSYCHOTHER PSYCHOSOM,J AFFECT DISORDERS,36,3.432
TELEMAT INFORM,J COMPUT-MEDIAT COMM,56,4.113
DISCOURSE CONTEXT ME,J PRAGMATICS,30,0.918
AM POLIT SCI REV,AM J POLIT SCI,117,5.044
ANNU REV SOCIOL,ASIA PAC EDUC REV,5,0.366
PSYCHOL ADDICT BEHAV,INT GAMBL STUD,16,1.439
TELECOMMUN POLICY,TELEMAT INFORM,19,3.398
QUAL RES,J PRAGMATICS,12,0.918
TESOL QUART,SYSTEM,37,1.400
SCHIZOPHR RES,PSYCHIAT QUART,15,1.449
FAM RELAT,PSYCHOL BULL,36,16.793
PREV SCI,J PRIM PREV,26,1.597
GERONTOLOGIST,PSYCHOL AGING,56,2.812
STUD HIGH EDUC,J EDUC PSYCHOL,38,3.459
J PUBLIC ECON,EXP ECON,40,2.391
INTEGR PSYCHOL BEHAV,CULT PSYCHOL,39,0.828
J AFFECT DISORDERS,PSYCHIAT CLIN N AM,55,2.172
COGN TECHNOL WORK,APPL ERGON,35,1.866
PLOS ONE,INT J SOC PSYCHIATR,40,1.38
PLOS ONE,J HUM EVOL,440,3.932
TECHNOL ANAL STRATEG,RES POLICY,259,4.495
J CHILD FAM STUD,J RES ADOLESCENCE,73,2.288
PUBLIC HEALTH,SOC SCI MED,133,2.797
CHILD DEV PERSPECT,COGNITION,28,3.414
SOC COGNITION,LEARN MOTIV,21,0.673
INT J GAME THEORY,ECONOMETRICA,82,3.379
CAN J ADM SCI,J MANAGE,28,7.733
RAE-REV ADMIN EMPRES,J BUS ETHICS,21,2.354
J AGGRESS MALTREAT T,J INTERPERS VIOLENCE,83,1.940
INT J SCI EDUC,INT J EDUC RES,19,0.930
J MANAGE INFORM SYST,STRATEGIC MANAGE J,32,4.461
COMPUT HUM BEHAV,PSYCHOL MARKET,80,2.000
SCHIZOPHR RES,J CLIN PSYCHIAT,232,5.291
J YOUTH ADOLESCENCE,SCHOOL PSYCHOL QUART,25,3.256
SCI ENG ETHICS,SCIENCE,59,37.205
GERONTOLOGIST,INT J AGING HUM DEV,20,0.662
ECON INQ,REV ECON STUD,65,4.03
J ADV NURS,NURS RES,49,1.929
DISABIL HEALTH J,DISABIL REHABIL,52,1.804
J AFFECT DISORDERS,J CONSULT CLIN PSYCH,301,4.593
INFORM TECHNOL DEV,INFORM SOC,20,1.558
J APPL SPORT PSYCHOL,J PERS SOC PSYCHOL,22,5.017
POLIT BEHAV,POLIT PSYCHOL,54,2.76
MIL PSYCHOL,MIL PSYCHOL,82,0.734
COGNITION,COGNITIVE SCI,126,2.917
SEX HEALTH,SEX HEALTH,91,1.238
J AGING HEALTH,JAMA-J AM MED ASSOC,47,44.405
PERS PSYCHOL,J MANAGE,96,7.733
RES POLICY,IND CORP CHANGE,143,1.777
PERS INDIV DIFFER,MULTIVAR BEHAV RES,78,2.593
PUBLIC HEALTH REP,PUBLIC HEALTH REP,81,1.867
NURS EDUC TODAY,J NURS SCHOLARSHIP,41,2.396
EUR J AGEING,SOC SCI MED,35,2.797
J MASS COMMUN Q,MASS COMMUN SOC,22,1.308
STRATEG ORGAN,AM J SOCIOL,42,3.088
INT J GAME THEORY,GAME ECON BEHAV,84,0.904
ECON INQ,Q J ECON,149,6.662
DEV PSYCHOL,J EARLY ADOLESCENCE,27,1.629
COLL RES LIBR,LIBRI,6,0.400
FRONT PSYCHOL,J GENET PSYCHOL,28,0.452
PLOS ONE,DEV PSYCHOPATHOL,103,3.244
ASLIB J INFORM MANAG,J ASSOC INF SCI TECH,21,2.322
MIND CULT ACT,J RES SCI TEACH,13,3.179
CAN J ADM SCI,INT J HUM RESOUR MAN,22,1.650
J CHILD FAM STUD,DEV REV,32,4.638
PLOS ONE,INT J SOC RES METHOD,10,1.396
PSYCHOL SERV,PSYCHIAT SERV,86,2.888
PERS SOC PSYCHOL B,SOC COGNITION,39,1.813
J SOC CLIN PSYCHOL,BEHAV RES THER,36,4.064
J APPL PSYCHOL,J ORGAN BEHAV,194,3.607
GERONTOLOGIST,AGEING SOC,31,1.386
QUAL INQ,QUAL RES,24,2.012
HEALTH POLICY TECHN,HEALTH POLICY TECHN,38,1.167
J BUS RES,J WORLD BUS,95,3.758
STUD SECOND LANG ACQ,MOD LANG J,61,1.745
J RES ADOLESCENCE,J EARLY ADOLESCENCE,35,1.629
J PRAGMATICS,HUMOR,32,0.655
PERS INDIV DIFFER,CURR DIR PSYCHOL SCI,116,5.255
PLOS ONE,DEV PSYCHOL,317,3.228
ARCH SEX BEHAV,FEM PSYCHOL,10,0.757
TECHNOL PEDAGOG EDUC,TECHNOL PEDAGOG EDUC,36,1.066
EUR J PSYCHOL ASSESS,J PERS SOC PSYCHOL,42,5.017
INT J LOGIST-RES APP,INT J PHYS DISTR LOG,131,2.577
J ADDICT NURS,J SUBST ABUSE TREAT,11,2.868
INT REV FINANC ANAL,J FINANC,796,6.043
INT SMALL BUS J,INT SMALL BUS J,334,3.677
J PSYCHOLINGUIST RES,J EXP PSYCHOL LEARN,107,2.667
SOCIOL HEALTH ILL,QUAL HEALTH RES,26,2.036
PSYCHOL ADDICT BEHAV,J STUD ALCOHOL DRUGS,210,2.5
ACCIDENT ANAL PREV,J SAFETY RES,263,1.841
J PRAGMATICS,LANGUAGE,51,1.714
J DOC,CAN J INFORM LIB SCI,5,0.111
ASIA PAC J MANAG,ASIA PAC BUS REV,7,1
HEALTH CARE MANAGE R,MED CARE,26,2.897
EDUC STUD-UK,ELEM SCHOOL J,17,1.151
PLOS ONE,Z PSYCHOL,9,1.83
INT J PUBLIC HEALTH,AM J PUBLIC HEALTH,60,3.858
COMPUT HUM BEHAV,SOC PSYCHOL PERS SCI,29,1.883
SCH MENT HEALTH,J AM ACAD CHILD PSY,79,6.442
J EXP PSYCHOL GEN,COGNITION,132,3.414
ENVIRON MODELL SOFTW,JASSS-J ARTIF SOC S,39,0.992
RES AGING,SOC SCI MED,41,2.797
INF SYST E-BUS MANAG,DECIS SUPPORT SYST,32,3.222
REV IBEROAM DIAGN EV,J SOC PERS RELAT,10,1.425
WESTERN J NURS RES,J CLIN NURS,31,1.214
TRANSPORT RES E-LOG,J AIR TRANSP MANAG,40,2.357
PERS INDIV DIFFER,BEHAV RES METHODS,106,3.623
POETICS,POETICS,185,1.080
GROUP DECIS NEGOT,EXPERT SYST APPL,43,3.928
COMMUNITY MENT HLT J,ACTA PSYCHIAT SCAND,64,6.79
HUM FACTOR ERGON MAN,INT J IND ERGONOM,77,1.415
MASS COMMUN SOC,J BROADCAST ELECTRON,34,1.311
GROUP DYN-THEOR RES,J APPL PSYCHOL,47,4.130
INT J QUAL HEALTH C,INT J QUAL HEALTH C,272,2.342
ENVIRON PLANN B,INT J GEOGR INF SCI,31,2.502
LANG TEACH RES,MOD LANG J,52,1.745
CULT ORGAN,ORGAN STUD,45,3.107
ELECTRON LIBR,PROGRAM-ELECTRON LIB,15,0.556
J ENG TECHNOL MANAGE,RES POLICY,123,4.495
J RES PERS,J RES PERS,149,2.417
J OCCUP HEALTH PSYCH,J APPL PSYCHOL,240,4.130
PSYCHOSOM MED,JAMA-J AM MED ASSOC,100,44.405
COGN LINGUIST,COGNITIVE SCI,20,2.917
PUBLIC MANAG REV,J APPL PSYCHOL,64,4.130
MARKET SCI,AM ECON REV,49,4.026
LEARN INDIVID DIFFER,ELEM SCHOOL J,30,1.151
INT GAMBL STUD,INT J MENT HEALTH AD,27,1.179
PLOS ONE,J ADOLESCENT HEALTH,197,3.974
J RES SCI TEACH,J SCI EDUC TECHNOL,27,1.080
SCI ENG ETHICS,ETHICS INF TECHNOL,20,1.500
J DEV BEHAV PEDIATR,J CHILD PSYCHOL PSYC,46,6.226
J CREATIVE BEHAV,AM PSYCHOL,16,6.681
MEAS EVAL COUNS DEV,PSYCHOL METHODS,15,4.667
J AFFECT DISORDERS,PSYCHIAT INVEST,24,1.406
J MANAGE PSYCHOL,CAREER DEV INT,16,1.038
AM J ORTHOPSYCHIAT,J CONSULT CLIN PSYCH,41,4.593
LEADERSHIP QUART,J PERS SOC PSYCHOL,150,5.017
PSYCHOSOMATICS,AM J PSYCHIAT,35,14.176
GIFTED CHILD QUART,CREATIVITY RES J,22,1.216
COGNITION,COGNITION,686,3.414
PSYCHOL RES-PSYCH FO,EXP PSYCHOL,27,1.829
ASIA-PAC PSYCHIAT,SCHIZOPHR RES,39,3.986
ELECTRON MARK,MANAGE SCI,27,2.822
PLOS ONE,COGNITIVE PSYCHOL,177,3.719
J VACAT MARK,J TRAVEL RES,75,4.564
EXP PSYCHOL,J EXP PSYCHOL LEARN,74,2.667
MANAGE SCI,MARKET SCI,181,2.163
TOURISM MANAGE,ASIA PAC J TOUR RES,47,1.051
DRUG ALCOHOL DEPEN,J SUBST ABUSE TREAT,219,2.868
TURK PSIKOL DERG,ACAD MANAGE J,12,7.417
ECON MODEL,OXFORD ECON PAP,26,0.76
J CHOICE MODEL,J CHOICE MODEL,22,1.162
J RES EDUC EFF,AM EDUC RES J,21,2.931
PLOS ONE,MEMORY,65,2.118
BEHAV PSYCHOL,AN PSICOL-SPAIN,16,0.871
PSYCHOTHER PSYCH MED,J CONSULT CLIN PSYCH,37,4.593
SYSTEM,LANG CULT CURRIC,19,1.385
J CHILD FAM STUD,DEV PSYCHOPATHOL,164,3.244
COMPUT HUM BEHAV,COMMUNICATIONS-GER,11,0.933
SECUR J,SECUR J,36,0.978
INTERNET RES,J BUS ETHICS,65,2.354
HEALTH CARE MANAGE R,ACAD MANAGE J,28,7.417
PSYCHOL VIOLENCE,PSYCHOL BULL,39,16.793
NEW MEDIA SOC,J BROADCAST ELECTRON,61,1.311
PLOS ONE,ECON INQ,20,0.922
INF ECON POLICY,RAND J ECON,21,1.465
JOURNALISM STUD,JOURNALISM,96,1.484
J MANAGE,IND ORGAN PSYCHOL-US,21,1.747
COMPUT HUM BEHAV,J MARKETING RES,224,3.654
EUR J PERSONALITY,PERS INDIV DIFFER,103,2.005
ANN GEN PSYCHIATR,J AFFECT DISORDERS,35,3.432
SOC PROBL,AM SOCIOL REV,69,4.4
CHILD ABUSE NEGLECT,TRAUMA VIOLENCE ABUS,27,3.542
CREAT INNOV MANAG,ORGAN SCI,53,2.691
LIBR HI TECH,COMPUT EDUC,18,3.819
CURR ANTHROPOL,P NATL ACAD SCI USA,119,9.661
TELECOMMUN POLICY,TECHNOL FORECAST SOC,28,2.625
J BUS LOGIST,TRANSPORT J,19,0.897
J DOC,LIBR QUART,43,0.558
BEHAV BRAIN SCI,BEHAV BRAIN SCI,86,14.2
SCH MENT HEALTH,J ABNORM CHILD PSYCH,19,3.615
BRIT J CLIN PSYCHOL,BEHAV RES THER,47,4.064
J HEALTH CARE POOR U,SOC SCI MED,84,2.797
ATTEN PERCEPT PSYCHO,PERCEPTION,157,1.087
J CONSUM PSYCHOL,J CONSUM PSYCHOL,190,3.385
J EXP ANAL BEHAV,BEHAV ANALYST,16,0.971
PSYCHOL SPORT EXERC,J APPL SPORT PSYCHOL,128,1.4
AM POLIT RES,AM POLIT SCI REV,171,3.316
VOCAT LEARN,EDUC RESEARCHER,9,3.827
GAMES CULT,CHIN J COMMUN,4,0.562
EPIDEMIOL PSYCH SCI,EUR J PSYCHIAT,4,0.426
LANG TEST,LANG LEARN,31,2.079
COMMUN MONOGR,J COMMUN,20,3.914
FRONT PSYCHOL,INT J BILINGUAL,16,0.974
J SOC CLIN PSYCHOL,PERS INDIV DIFFER,27,2.005
INT J AVIAT PSYCHOL,HUM FACTORS,9,2.219
AGING MENT HEALTH,AGEING SOC,37,1.386
INFORM TECHNOL PEOPL,INFORM SYST RES,46,2.763
VA LAW REV,INDIANA LAW J,19,1.090
J PERS PSYCHOL,J PERS SOC PSYCHOL,25,5.017
